kirana_id,kirana_name,distributor_id,pin_code
KIR0239,Sri Ram Provisions 239,DIST004,400093
KIR0240,Sri Ram Provisions 240,DIST010,400065
KIR0241,Sri Ram Provisions 241,DIST010,400086
KIR0242,Sri Ram Provisions 242,DIST014,400042
KIR0243,Sri Ram Provisions 243,DIST013,400090
KIR0244,Sri Ram Provisions 244,DIST010,400071
KIR0245,Sri Ram Provisions 245,DIST005,400025
KIR0246,Sri Ram Provisions 246,DIST014,400086
KIR0247,Sri Ram Provisions 247,DIST013,400087
KIR0248,Sri Ram Provisions 248,DIST006,400079
KIR0249,Sri Ram Provisions 249,DIST019,400039
KIR0250,Sri Ram Provisions 250,DIST013,400071
KIR0251,Sri Ram Provisions 251,DIST001,400039
KIR0252,Sri Ram Provisions 252,DIST010,400027
KIR0253,Sri Ram Provisions 253,DIST014,400075
KIR0254,Sri Ram Provisions 254,DIST020,400084
KIR0255,Sri Ram Provisions 255,DIST011,400060
KIR0256,Sri Ram Provisions 256,DIST015,400057
KIR0257,Sri Ram Provisions 257,DIST007,400066
KIR0258,Sri Ram Provisions 258,DIST016,400095
KIR0259,Sri Ram Provisions 259,DIST006,400085
KIR0260,Sri Ram Provisions 260,DIST003,400037
KIR0261,Sri Ram Provisions 261,DIST017,400085
KIR0262,Sri Ram Provisions 262,DIST020,400043
KIR0263,Sri Ram Provisions 263,DIST003,400097
KIR0264,Sri Ram Provisions 264,DIST008,400087
KIR0265,Sri Ram Provisions 265,DIST010,400029
KIR0266,Sri Ram Provisions 266,DIST007,400019
KIR0267,Sri Ram Provisions 267,DIST001,400006
KIR0268,Sri Ram Provisions 268,DIST008,400061
KIR0269,Sri Ram Provisions 269,DIST020,400099
KIR0270,Sri Ram Provisions 270,DIST003,400059
KIR0271,Sri Ram Provisions 271,DIST014,400081
KIR0272,Sri Ram Provisions 272,DIST019,400025
KIR0273,Sri Ram Provisions 273,DIST013,400064
KIR0274,Sri Ram Provisions 274,DIST013,400032
KIR0275,Sri Ram Provisions 275,DIST005,400084
KIR0276,Sri Ram Provisions 276,DIST001,400097
KIR0277,Sri Ram Provisions 277,DIST004,400100
KIR0278,Sri Ram Provisions 278,DIST014,400029
KIR0279,Sri Ram Provisions 279,DIST006,400090
KIR0280,Sri Ram Provisions 280,DIST017,400060
KIR0281,Sri Ram Provisions 281,DIST002,400072
KIR0282,Sri Ram Provisions 282,DIST008,400016
KIR0283,Sri Ram Provisions 283,DIST015,400018
KIR0284,Sri Ram Provisions 284,DIST015,400086
KIR0285,Sri Ram Provisions 285,DIST017,400072
KIR0286,Sri Ram Provisions 286,DIST020,400041
KIR0287,Sri Ram Provisions 287,DIST015,400079
KIR0288,Sri Ram Provisions 288,DIST017,400055
KIR0289,Sri Ram Provisions 289,DIST018,400058
KIR0290,Sri Ram Provisions 290,DIST006,400096
KIR0291,Sri Ram Provisions 291,DIST016,400058
KIR0292,Sri Ram Provisions 292,DIST009,400097
KIR0293,Sri Ram Provisions 293,DIST008,400082
KIR0294,Sri Ram Provisions 294,DIST009,400099
KIR0295,Sri Ram Provisions 295,DIST017,400063
KIR0296,Sri Ram Provisions 296,DIST008,400036
KIR0297,Sri Ram Provisions 297,DIST015,400010
KIR0298,Sri Ram Provisions 298,DIST010,400031
KIR0299,Sri Ram Provisions 299,DIST009,400043
KIR0300,Sri Ram Provisions 300,DIST011,400070
KIR0301,Sri Ram Provisions 301,DIST003,400018
KIR0302,Sri Ram Provisions 302,DIST005,400030
KIR0303,Sri Ram Provisions 303,DIST013,400089
KIR0304,Sri Ram Provisions 304,DIST005,400091
KIR0305,Sri Ram Provisions 305,DIST007,400009
KIR0306,Sri Ram Provisions 306,DIST014,400053
KIR0307,Sri Ram Provisions 307,DIST011,400070
KIR0308,Sri Ram Provisions 308,DIST015,400054
KIR0309,Sri Ram Provisions 309,DIST002,400027
KIR0310,Sri Ram Provisions 310,DIST014,400050
KIR0311,Sri Ram Provisions 311,DIST019,400090
KIR0312,Sri Ram Provisions 312,DIST001,400098
KIR0313,Sri Ram Provisions 313,DIST019,400049
KIR0314,Sri Ram Provisions 314,DIST016,400001
KIR0315,Sri Ram Provisions 315,DIST012,400039
KIR0316,Sri Ram Provisions 316,DIST013,400054
KIR0317,Sri Ram Provisions 317,DIST018,400096
KIR0318,Sri Ram Provisions 318,DIST018,400078
KIR0319,Sri Ram Provisions 319,DIST008,400063
KIR0320,Sri Ram Provisions 320,DIST008,400035
KIR0321,Sri Ram Provisions 321,DIST014,400063
KIR0322,Sri Ram Provisions 322,DIST001,400050
KIR0323,Sri Ram Provisions 323,DIST011,400086
KIR0324,Sri Ram Provisions 324,DIST013,400093
KIR0325,Sri Ram Provisions 325,DIST006,400060
KIR0326,Sri Ram Provisions 326,DIST005,400080
KIR0327,Sri Ram Provisions 327,DIST018,400004
KIR0328,Sri Ram Provisions 328,DIST013,400076
KIR0329,Sri Ram Provisions 329,DIST019,400085
KIR0330,Sri Ram Provisions 330,DIST001,400011
KIR0331,Sri Ram Provisions 331,DIST014,400018
KIR0332,Sri Ram Provisions 332,DIST015,400024
KIR0333,Sri Ram Provisions 333,DIST002,400034
KIR0334,Sri Ram Provisions 334,DIST013,400042
KIR0335,Sri Ram Provisions 335,DIST007,400059
KIR0336,Sri Ram Provisions 336,DIST011,400044
KIR0337,Sri Ram Provisions 337,DIST013,400036
KIR0338,Sri Ram Provisions 338,DIST014,400033
KIR0339,Sri Ram Provisions 339,DIST003,400061
KIR0340,Sri Ram Provisions 340,DIST001,400096
KIR0341,Sri Ram Provisions 341,DIST018,400007
KIR0342,Sri Ram Provisions 342,DIST012,400029
KIR0343,Sri Ram Provisions 343,DIST003,400100
KIR0344,Sri Ram Provisions 344,DIST002,400097
KIR0345,Sri Ram Provisions 345,DIST001,400032
KIR0346,Sri Ram Provisions 346,DIST007,400003
KIR0347,Sri Ram Provisions 347,DIST020,400020
KIR0348,Sri Ram Provisions 348,DIST008,400017
KIR0349,Sri Ram Provisions 349,DIST016,400086
KIR0350,Sri Ram Provisions 350,DIST004,400073
KIR0351,Sri Ram Provisions 351,DIST007,400060
KIR0352,Sri Ram Provisions 352,DIST009,400099
KIR0353,Sri Ram Provisions 353,DIST012,400022
KIR0354,Sri Ram Provisions 354,DIST020,400078
KIR0355,Sri Ram Provisions 355,DIST004,400100
KIR0356,Sri Ram Provisions 356,DIST006,400040
KIR0357,Sri Ram Provisions 357,DIST004,400075
KIR0358,Sri Ram Provisions 358,DIST001,400040
KIR0359,Sri Ram Provisions 359,DIST019,400087
KIR0360,Sri Ram Provisions 360,DIST013,400051
KIR0361,Sri Ram Provisions 361,DIST007,400010
KIR0362,Sri Ram Provisions 362,DIST019,400089
KIR0363,Sri Ram Provisions 363,DIST008,400014
KIR0364,Sri Ram Provisions 364,DIST010,400088
KIR0365,Sri Ram Provisions 365,DIST020,400016
KIR0366,Sri Ram Provisions 366,DIST019,400006
KIR0367,Sri Ram Provisions 367,DIST012,400069
KIR0368,Sri Ram Provisions 368,DIST014,400085
KIR0369,Sri Ram Provisions 369,DIST012,400009
KIR0370,Sri Ram Provisions 370,DIST017,400083
KIR0371,Sri Ram Provisions 371,DIST011,400002
KIR0372,Sri Ram Provisions 372,DIST014,400063
KIR0373,Sri Ram Provisions 373,DIST004,400056
KIR0374,Sri Ram Provisions 374,DIST012,400082
KIR0375,Sri Ram Provisions 375,DIST015,400091
KIR0376,Sri Ram Provisions 376,DIST005,400056
KIR0377,Sri Ram Provisions 377,DIST006,400094
KIR0378,Sri Ram Provisions 378,DIST017,400084
KIR0379,Sri Ram Provisions 379,DIST009,400079
KIR0380,Sri Ram Provisions 380,DIST018,400100
KIR0381,Sri Ram Provisions 381,DIST016,400060
KIR0382,Sri Ram Provisions 382,DIST014,400094
KIR0383,Sri Ram Provisions 383,DIST019,400035
KIR0384,Sri Ram Provisions 384,DIST011,400032
KIR0385,Sri Ram Provisions 385,DIST003,400036
KIR0386,Sri Ram Provisions 386,DIST015,400032
KIR0387,Sri Ram Provisions 387,DIST015,400073
KIR0388,Sri Ram Provisions 388,DIST020,400086
KIR0389,Sri Ram Provisions 389,DIST013,400044
KIR0390,Sri Ram Provisions 390,DIST001,400064
KIR0391,Sri Ram Provisions 391,DIST011,400024
KIR0392,Sri Ram Provisions 392,DIST016,400028
KIR0393,Sri Ram Provisions 393,DIST012,400034
KIR0394,Sri Ram Provisions 394,DIST011,400036
KIR0395,Sri Ram Provisions 395,DIST020,400090
KIR0396,Sri Ram Provisions 396,DIST009,400072
KIR0397,Sri Ram Provisions 397,DIST001,400067
KIR0398,Sri Ram Provisions 398,DIST007,400011
KIR0399,Sri Ram Provisions 399,DIST008,400093
KIR0400,Sri Ram Provisions 400,DIST014,400063
KIR0401,Sri Ram Provisions 401,DIST018,400098
KIR0402,Sri Ram Provisions 402,DIST008,400089
KIR0403,Sri Ram Provisions 403,DIST016,400083
KIR0404,Sri Ram Provisions 404,DIST016,400058
KIR0405,Sri Ram Provisions 405,DIST001,400012
KIR0406,Sri Ram Provisions 406,DIST010,400029
KIR0407,Sri Ram Provisions 407,DIST013,400089
KIR0408,Sri Ram Provisions 408,DIST008,400040
KIR0409,Sri Ram Provisions 409,DIST019,400048
KIR0410,Sri Ram Provisions 410,DIST016,400071
KIR0411,Sri Ram Provisions 411,DIST017,400045
KIR0412,Sri Ram Provisions 412,DIST014,400096
KIR0413,Sri Ram Provisions 413,DIST018,400043
KIR0414,Sri Ram Provisions 414,DIST012,400090
KIR0415,Sri Ram Provisions 415,DIST015,400035
KIR0416,Sri Ram Provisions 416,DIST010,400033
KIR0417,Sri Ram Provisions 417,DIST008,400016
KIR0418,Sri Ram Provisions 418,DIST007,400041
KIR0419,Sri Ram Provisions 419,DIST004,400096
KIR0420,Sri Ram Provisions 420,DIST018,400098
KIR0421,Sri Ram Provisions 421,DIST006,400025
KIR0422,Sri Ram Provisions 422,DIST007,400095
KIR0423,Sri Ram Provisions 423,DIST016,400036
KIR0424,Sri Ram Provisions 424,DIST019,400098
KIR0425,Sri Ram Provisions 425,DIST017,400077
KIR0426,Sri Ram Provisions 426,DIST010,400013
KIR0427,Sri Ram Provisions 427,DIST007,400038
KIR0428,Sri Ram Provisions 428,DIST008,400047
KIR0429,Sri Ram Provisions 429,DIST006,400039
KIR0430,Sri Ram Provisions 430,DIST001,400091
KIR0431,Sri Ram Provisions 431,DIST018,400017
KIR0432,Sri Ram Provisions 432,DIST009,400006
KIR0433,Sri Ram Provisions 433,DIST002,400071
KIR0434,Sri Ram Provisions 434,DIST010,400090
KIR0435,Sri Ram Provisions 435,DIST005,400082
KIR0436,Sri Ram Provisions 436,DIST016,400014
KIR0437,Sri Ram Provisions 437,DIST001,400074
KIR0438,Sri Ram Provisions 438,DIST010,400061
KIR0439,Sri Ram Provisions 439,DIST016,400057
KIR0440,Sri Ram Provisions 440,DIST011,400024
KIR0441,Sri Ram Provisions 441,DIST002,400033
KIR0442,Sri Ram Provisions 442,DIST016,400015
KIR0443,Sri Ram Provisions 443,DIST003,400052
KIR0444,Sri Ram Provisions 444,DIST016,400010
KIR0445,Sri Ram Provisions 445,DIST019,400081
KIR0446,Sri Ram Provisions 446,DIST002,400020
KIR0447,Sri Ram Provisions 447,DIST005,400073
KIR0448,Sri Ram Provisions 448,DIST010,400011
KIR0449,Sri Ram Provisions 449,DIST008,400016
KIR0450,Sri Ram Provisions 450,DIST018,400098
KIR0451,Sri Ram Provisions 451,DIST014,400078
KIR0452,Sri Ram Provisions 452,DIST020,400080
KIR0453,Sri Ram Provisions 453,DIST008,400100
KIR0454,Sri Ram Provisions 454,DIST017,400049
KIR0455,Sri Ram Provisions 455,DIST015,400057
KIR0456,Sri Ram Provisions 456,DIST010,400076
KIR0457,Sri Ram Provisions 457,DIST014,400040
KIR0458,Sri Ram Provisions 458,DIST019,400080
KIR0459,Sri Ram Provisions 459,DIST002,400079
KIR0460,Sri Ram Provisions 460,DIST004,400098
KIR0461,Sri Ram Provisions 461,DIST007,400081
KIR0462,Sri Ram Provisions 462,DIST007,400034
KIR0463,Sri Ram Provisions 463,DIST003,400021
KIR0464,Sri Ram Provisions 464,DIST008,400023
KIR0465,Sri Ram Provisions 465,DIST018,400010
KIR0466,Sri Ram Provisions 466,DIST006,400001
KIR0467,Sri Ram Provisions 467,DIST014,400058
KIR0468,Sri Ram Provisions 468,DIST020,400061
KIR0469,Sri Ram Provisions 469,DIST010,400005
KIR0470,Sri Ram Provisions 470,DIST008,400037
KIR0471,Sri Ram Provisions 471,DIST010,400090
KIR0472,Sri Ram Provisions 472,DIST015,400010
KIR0473,Sri Ram Provisions 473,DIST008,400034
KIR0474,Sri Ram Provisions 474,DIST019,400085
KIR0475,Sri Ram Provisions 475,DIST007,400055
KIR0476,Sri Ram Provisions 476,DIST004,400070
KIR0477,Sri Ram Provisions 477,DIST008,400083
KIR0478,Sri Ram Provisions 478,DIST005,400035
KIR0479,Sri Ram Provisions 479,DIST005,400010
KIR0480,Sri Ram Provisions 480,DIST002,400022
KIR0481,Sri Ram Provisions 481,DIST010,400077
KIR0482,Sri Ram Provisions 482,DIST019,400037
KIR0483,Sri Ram Provisions 483,DIST015,400016
KIR0484,Sri Ram Provisions 484,DIST015,400089
KIR0485,Sri Ram Provisions 485,DIST010,400090
KIR0486,Sri Ram Provisions 486,DIST013,400035
KIR0487,Sri Ram Provisions 487,DIST017,400070
KIR0488,Sri Ram Provisions 488,DIST016,400057
KIR0489,Sri Ram Provisions 489,DIST003,400077
KIR0490,Sri Ram Provisions 490,DIST002,400056
KIR0491,Sri Ram Provisions 491,DIST011,400078
KIR0492,Sri Ram Provisions 492,DIST009,400004
KIR0493,Sri Ram Provisions 493,DIST003,400030
KIR0494,Sri Ram Provisions 494,DIST019,400076
KIR0495,Sri Ram Provisions 495,DIST001,400098
KIR0496,Sri Ram Provisions 496,DIST009,400074
KIR0497,Sri Ram Provisions 497,DIST002,400098
KIR0498,Sri Ram Provisions 498,DIST006,400061
KIR0499,Sri Ram Provisions 499,DIST017,400084
KIR0500,Sri Ram Provisions 500,DIST015,400036
